"Observation","Cooks_Distance"
1,0.000654290477352875
2,0.000549227758583017
3,0.000182111638799285
4,0.00102929026439756
5,0.00126748237994306
6,6.12978254919594e-05
7,1.37162044620728e-05
8,1.42520583406095e-05
9,0.000538370983585909
10,0.000196932741848823
11,0.000118356089051883
12,1.7205002181009e-05
13,5.39426135211817e-05
14,9.71446298257806e-07
15,0.000143192671209279
16,1.09394488017202e-07
17,0.00180474763835614
18,2.5976269476951e-06
19,2.339613795916e-05
20,0.00332727355098932
21,2.15365015448104e-05
22,5.88825631773916e-07
23,0.00020325548769104
24,2.16334181032892e-05
25,1.20896026272363e-06
26,0.000201114776956636
27,0.0164277930136181
28,0.002388259555615
29,6.07198158776474e-08
30,0.001939549171354
31,2.08633894908622e-05
32,0.00270083312325792
33,5.45503004450437e-05
34,3.98303460720736e-06
35,1.31496003135516e-05
36,0.000133867325844783
37,4.26442658796456e-05
38,2.53809099036836e-05
39,0.0305379067417089
40,5.62850195424181e-05
41,0.000204714610773286
42,0.000470740994280477
43,2.06141959183582e-06
44,0.00151090432106479
45,0.000522850373976657
46,0.000743400436199245
47,0.000437060220244182
48,0.00418340640895344
49,0.000182114777856286
50,0.00258490788131467
51,2.7896534090315e-07
52,3.3062746384519e-05
53,0.00194901907348957
54,0.00055265346273039
55,8.48346165750686e-07
56,3.10383623610296e-06
57,0.00028444437494831
58,0.00255010280562036
59,3.97508690776257e-07
60,4.99607429093809e-05
61,1.36528909172237e-05
62,1.33146476908847e-05
63,0.000971202387869326
64,2.59125838859341e-05
65,8.9629313484712e-07
66,9.73982777407206e-06
67,3.65565830071105e-07
68,5.61394924386735e-07
69,1.56862537163929e-06
70,0.00689397832535485
71,0.000681153908255539
72,0.0010041316807121
73,0.000191211625502377
74,0.00100315421278646
75,7.32707540622826e-05
76,9.35794080323978e-06
77,4.65459784793797e-07
78,1.35975067973163e-05
79,7.35677257646223e-05
80,0.000327954685530907
81,1.47389321073581e-06
82,1.0333531354091e-08
83,5.23646614566515e-14
84,0.00021808334897184
85,0.00131532596828807
86,7.92638704240254e-06
87,0.00113696989718321
88,0.000509681795760373
89,6.03781181493773e-12
90,6.74202134278915e-05
91,1.83398856622255e-05
92,8.45108295595719e-06
93,5.44541514902164e-06
94,5.5258862388962e-05
95,3.98518124554279e-05
96,6.05963413084419e-07
97,0.00203603456588388
98,4.54631832260642e-05
99,0.041549849257487
100,0.000196413424084027
101,1.23626306486888e-05
102,9.42299004260878e-07
103,0.000124627865630683
104,7.41311642865889e-05
105,0.000255122751860623
106,1.91753924303488e-05
107,7.82073444605979e-06
108,0.0118814441542598
109,0.000137317085545974
110,0.00239183365343745
111,7.47467612243163e-05
112,9.95370654155706e-05
113,7.97137203349901e-07
114,4.2904248326565e-06
115,5.45710540010648e-05
116,8.67464634321198e-05
117,5.09042085291275e-05
118,0.000508947427216694
119,2.64710132562514e-06
120,0.0011797797480429
121,9.44128671618009e-06
122,6.51167224999904e-05
123,8.66558899368115e-09
124,8.232900571213e-06
125,0.000244819385487006
126,1.32053140918797e-05
127,2.32961463045726e-05
128,3.26934854419418e-05
129,3.47738869776837e-05
130,1.41305948292789e-06
131,1.31328080637118e-05
132,3.45967230733392e-05
133,1.65121369544992e-05
134,0.000383572591118072
135,0.000340541469597311
136,0.00121470603802054
137,0.000206958458050746
138,0.00261468008682293
139,0.000102133079758112
140,5.66185232781338e-05
141,0.000732498794097675
142,3.2932567306447e-05
143,0.000439397180398004
144,1.60154243981701e-05
145,3.85512739024027e-07
146,2.46941380282458e-07
147,3.33791314439358e-06
148,1.14486269075227e-06
149,6.03988526517996e-07
150,3.99348176305624e-07
151,6.07337627290418e-06
152,0.00335392715703295
153,4.00864034340421e-09
154,1.98095107308883e-05
155,0.000469147926798449
156,0.00135346654470981
157,3.63910531806679e-08
158,1.88252570299188e-06
159,1.54109620685274e-06
160,0.000740582399888951
161,2.28529000403851e-07
162,6.76178643134127e-05
